HHA CCN,HHA Brand Name,HHA ID Owner,HHA Name Owner,HHA DBA Owner,HHA NPI,HHA ID,HHA Name,HHA DBA,HHA Address,HHA City,HHA Zip,HHA Fips,HHA County,HHA State,HHA State Cd,HHA CBSA,HHA Rating,HHA Auth Person,HHA Auth Person Desgn,HHA Auth Person Tele
057205,Commonspirit Health at Home,3678530714,CONSOLIDATED HEALTH SERVICES LLC,COMMONSPIRIT HEALTH AT HOME,1871612614,2062320559,DIGNITY HEALTH,ST. ELIZABETH COMMUNITY HOSPITAL HHA,1425 VISTA WAY,RED BLUFF,96080,06103,TEHAMA,California,CA,"Red Bluff, CA",4,KIM MIRANDA,CHIEF FINANCIAL OFFICER,530-225-6121
559059,,,,,1588178867,4789949637,BENEVOLENT HOME HEALTH INC,,2405 WEST BURBANK BLVD,BURBANK,91506,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",4.5,ARMINE BAKHTAMYAN,CEO,818-302-7575
559395,,,,,1790339901,1052642253,LULY HOME HEALTH INC,,11749 EDINGER AVE,FOUNTAIN VALLEY,92708,06059,ORANGE,California,CA,"Los Angeles-Long Beach-Anaheim, CA",5,KIM NGO,CEO,714-718-2755
497608,Enhabit,446772776,"8 KNOTS MANAGEMENT, LLC",,1083158950,6507141058,EH HOME HEALTH OF ROANOKE LLC,ENHABIT HOME HEALTH,6701 PETERS CREEK ROAD SUITE 100 & 101,ROANOKE,24019,51161,ROANOKE,Virginia,VA,"Roanoke, VA",3,JULIE JOLLEY,EVP OF HOME HEALTH OPERATIONS,214-239-6500
683159,,3779836663,IHCS PURCHASER HOLDCO INC,,1033469168,8325274368,ALBORADA HOME HEALTH OF TAMPA INC,SOUTHEAST HOMECARE,3710 CORPOREX PARK DR STE 100,TAMPA,33619,12057,HILLSBOROUGH,Florida,FL,"Tampa-St. Petersburg-Clearwater, FL",5,JORGE PEREDA,CEO,954-381-7951
227564,,,,,1861740987,0244483311,"INDEPENDENT AT HOME, LLC",,"56 CHERRY ST, 3RD FLOOR",BROCKTON,02301,25023,PLYMOUTH,Massachusetts,MA,"Boston-Cambridge-Newton, MA-NH",-,MARY JOHNSON,RESIDENT AGENT,617-943-9384
257096,,1052487105,JASPER GENERAL HOSPITAL,JASPER COUNTY AFTER HOURS CLINIC,1083715718,1052487105,JASPER GENERAL HOSPITAL,PRO CARE HOME HEALTH,#20 BAY AVENUE / P. O. BOX 527,BAY SPRINGS,39422,28061,JASPER,Mississippi,MS,"Laurel, MS",2.5,TERRI JAMES,BILLING,601-764-2081
067437,,,,,1497865620,3375453160,GOLDEN HARMONY INC,,14707 E 2ND AVE STE 200,AURORA,80011,08005,ARAPAHOE,Colorado,CO,"Denver-Aurora-Centennial, CO",-,LULA JULYE,ADMINISTRATOR/DON,303-375-9250
421533,INTERIM,7214337203,SOUTH STATE BANK,,1538638994,0345501649,"INSPIRIUM IHC UPSTATE, LLC",INTERIM HEALTHCARE OF THE UPSTATE,100 VERDE BLVD STE 300,GREENVILLE,29607,45045,GREENVILLE,South Carolina,SC,"Greenville-Anderson-Greer, SC",,DAVID MAIORANA,CFO,864-627-1200
367249,,2769415348,KETTERING MEDICAL CENTER,KETTERING HEALTH MAIN CAMPUS,1336257872,2769415348,KETTERING MEDICAL CENTER,KETTERING HEALTH MAIN CAMPUS,"1050 FORRER BLVD, SUITE 105",KETTERING,45420,39113,MONTGOMERY,Ohio,OH,"Dayton-Kettering-Beavercreek, OH",3.5,TIMOTHY KO,KETTERING HEALTH CFO,937-395-8522
050084,Commonspirit Health at Home,1355259755,COMMONSPIRIT HEALTH,COMMONSPIRIT HEALTH,1528190931,5597054452,PORT CITY OPERATING COMPANY LLC,ST JOSEPHS MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,95204,06077,SAN JOAQUIN,California,CA,"Stockton-Lodi, CA",4,DANIEL MORISETTE,CHIEF FINANCIAL OFFICER,858-275-8112
447284,LHC Group,749192441,UNITEDHEALTH GROUP INCORPORATED,OPTUM HEALTH INC,1821288572,1658459896,"LIFELINE OF WEST TENNESSEE, LLC",EXTENDICARE HOME HEALTH OF WEST TENNESSEE,620 MALL BLVD SUITE C1,DYERSBURG,38024,47045,DYER,Tennessee,TN,"Dyersburg, TN",4,JOSHUA PROFFITT,PRESIDENT,337-233-1307
537302,TERRACE HOME HEALTH,3173545464,ROCKY MOUNTAIN CARE LLC,,1811994122,0446227748,"BCBU, INC",ROCKY MOUNTAIN HOME CARE - GREEN RIVER,175 RIVER VIEW DR,GREEN RIVER,82935,56037,SWEETWATER,Wyoming,WY,"Rock Springs, WY",4,DEE BANGERTER,CEO,801-397-4000
678220,,,,,1164561312,4284717935,"HEART HOME HEALTH CARE, INC",,9103 SCOTT STREET,HOUSTON,77051,48201,HARRIS,Texas,TX,"Houston-Pasadena-The Woodlands, TX",-,CARL JENKINS,ADMINISTRATOR,713-654-8825
180043,"ADVENTIST HEALTH ",5597676429,ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORPORATION,SUNBELT HEALTH CARE AND SUBACUTE CENTER APOPKA,1811922347,4486616141,"MEMORIAL HOSPITAL, INC.",ADVENTHEALTH MANCHESTER,210 MARIE LANGDON DRIVE,MANCHESTER,40962,21051,CLAY,Kentucky,KY,"Corbin, KY",-,JESSE KLEVEN,CFO,606-598-5104
368087,,,,,1790854768,5294718029,"HOME HEALTH CONNECTION, INC.",,"6797 NORTH HIGH STREET, SUITE 113",WORTHINGTON,43085,39049,FRANKLIN,Ohio,OH,"Columbus, OH",4,SHAWN MAFI,PRESIDENT,614-839-4545
120001,,8426138868,"THE QUEEN'S HEALTH SYSTEMS",,1184612764,3476454067,THE QUEENS MEDICAL CENTER,,1301 PUNCHBOWL ST,HONOLULU,96813,15003,HONOLULU,Hawaii,HI,"Urban Honolulu, HI",3,TIM PANKS,EXEC VP/CHIEF FINANCE OFFICER,808-691-5957
369021,,42693418,HILLS AT HOME HOLDING COMPANY INC,,1306107347,6507015195,THE HILLS AT HOME INC,OHMAN FAMILY LIVING AT HOME,10190 FAIRMOUNT ROAD,NEWBURY,44065,39055,GEAUGA,Ohio,OH,"Cleveland, OH",3.5,GEORGE OHMAN,OWNER,440-338-8220
679106,,,,,1336144039,6608038997,ACTIVE HOME CARE SERVICES INC,ACTIVE HOME HEALTH,1016 N. INDUSTRIAL BLVD.,PILOT POINT,76258,48121,DENTON,Texas,TX,"Dallas-Fort Worth-Arlington, TX",4,SAJI RAJU,OWNER,972-249-4999
748117,,,,,1598541336,3678926557,INSTEP HOME HEALTH LLC,,2323 S. VOSS RD SUITE 105,HOUSTON,77057,48201,HARRIS,Texas,TX,"Houston-Pasadena-The Woodlands, TX",-,MARCO TRINIDAD,OWNER/PRESIDENT,832-807-7010
368230,Amedisys,3072421957,AMEDISYS INC,AMEDISYS INC A DELAWARE CORP,1265600571,2365516499,"MARIETTA HOME HEALTH AND HOSPICE, L.L.C","MARIETTA HOME HEALTH AND HOSPICE, AN AMEDISYS PARTNER",27853 STATE ROUTE 7,MARIETTA,45750,39167,WASHINGTON,Ohio,OH,"Marietta, OH",4.5,PAUL KUSSEROW,PRESIDENT,225-292-2031
390223,,2062326507,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,PENN HOME INFUSION THERAPY,1245207521,0042115008,PRESBYTERIAN MEDICAL CENTER OF THE UNIVERSITY OF PENNSYLVANIA HEALTH S,PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,PHILADELPHIA,19104,42101,PHILADELPHIA,Pennsylvania,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5,THOMAS MCCORMICK,AVP FINANCE,215-762-0888
687057,,,,,1457851685,8921349028,"WORKING NURSES HEALTHCARE, LLC",,2155 N STATE ROAD 7,MARGATE,33063,12011,BROWARD,Florida,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",4.5,CAREECIA WALLACE,OWNER,954-916-7458
757657,,,,,1780297812,2163829888,"THE BEST HOME HEALTH AGENCY, INC.",,6356 VAN NUYS BLVD,VAN NUYS,91401,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",-,VANUSH MIKAYELYAN,PRESIDENT/CEO,818-945-8343
467112,,,,,1700908274,4981515723,AT HOME HEALTH CARE SERVICE INC,AT HOME HEALTH CARE,45 NORTH 100 WEST,SALINA,84654,49041,SEVIER,Utah,UT,Non Metropolitan,4,VICKI GURNEY,ADMINISTRATOR,435-529-3233
178134,,,,,1740841493,9335544865,COMPASSIONATE HOME HEALTH LLC,,2828 S IDA ST,WICHITA,67216,20173,SEDGWICK,Kansas,KS,"Wichita, KS",-,MONDAY AKINTUYI,ADMINISTRATOR,316-409-7724
058443,,,,,1598970535,2365431723,"BEST CARE HOME HEALTH AGENCY, INC.",,2204 TORRANCE BLVD SUITE 104A,TORRANCE,90501,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",-,ERIC OJIYI,CEO,310-540-2637
127309,Bayada,2860309671,"BAYADA HOME HEALTH CARE, INC.",BAYADA HOSPICE,1942569702,2264411552,"B.C.P., INC.",BAYADA HOME HEALTH CARE,"2200 MAIN STREET, SUITE 660",WAILUKU,96793,15009,MAUI,Hawaii,HI,"Kahului-Wailuku, HI",5,DAVID BAIADA,PRESIDENT/CEO,856-662-4300
108146,,6002203072,CGA HOLDINGS INC,,1376535625,3072575430,BOCA HOME CARE INC,READY CARE HOME HEALTH,"4700 NW 2ND AVE, STE 402",BOCA RATON,33431,12099,PALM BEACH,Florida,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",4,BRENDA FOGG-BERNER,ADMIN,561-989-0441
297318,,,,,1902577612,0749675668,FAMILY COMFORT HOME HEALTH INC,,2675 S JONES BLVD,LAS VEGAS,89146,32003,CLARK,Nevada,NV,"Las Vegas-Henderson-North Las Vegas, NV",3,IRIS AKOPIAN,CEO,725-334-7408
108207,,,,,1487734612,2961453527,LESLY HOME HEALTH CARE INC,,175 FONTAINEBLEAU BLVD STE 1R6,MIAMI,33172,12086,MIAMI-DADE,Florida,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",-,CARMEN CODINA,CFO,305-553-7727
687053,,,,,1508225434,5698103307,UPLIFT HOMECARE LLC,INTERIM HEALTHCARE OF EAST TAMPA,110 W REYNOLDS ST STE 101,PLANT CITY,33563,12057,HILLSBOROUGH,Florida,FL,"Tampa-St. Petersburg-Clearwater, FL",-,WADDIE FREEMAN,CEO/ADMINISTRATOR,813-370-7817
059385,Mission,1052699840,"CAPRICORN HEALTHCARE & SPECIAL OPPORTUNITIES II, LP",,1568760718,7214090802,HEALTHY LIVING AT HOME LLC,MISSION HOME HEALTH OF SACRAMENTO,"2450 VENTURE OAKS WAY, SUITE 220",SACRAMENTO,95833,06067,SACRAMENTO,California,CA,"Sacramento-Roseville-Folsom, CA",3,STEVE MURPHY,CFO,619-757-2700
757267,,,,,1780259150,7911383336,ELK GROVE HOME HEALTH INC,,2386 MARITIME DR,ELK GROVE,95758,06067,SACRAMENTO,California,CA,"Sacramento-Roseville-Folsom, CA",-,LUSINE MOVSISYAN,CEO/CFO/SECRETARY,916-698-9803
377780,,6305074360,"OKLAHOMA HOMECARE, INC",,1043582018,7416185475,CARTER HEALTHCARE OF MCALESTER LLC,CARTER HEALTHCARE,200 E HARRIS CIRCLE,TAHLEQUAH,74464,40021,CHEROKEE,Oklahoma,OK,"Tahlequah, OK",4,JUSTIN CARTER,AUTHORIZED OFFICIAL/PRESIDENT,405-947-7700
557012,Kaiser Hospital HHA,6800707456,KAISER FOUNDATION HOSPITALS,"KAISER PERMANENTE CARE AT HOME, OAHU HOSPICE",1295800837,6800707456,KAISER FOUNDATION HOSPITALS,KAISER PERMANENTE HOSPITAL HOME HEALTH MARTINEZ,"200 MUIR ROAD, HACIENDA BUILDING",MARTINEZ,94553,06013,CONTRA COSTA,California,CA,"San Francisco-Oakland-Fremont, CA",3,COLLEEN MCKEOWN,"SENIOR VICE PRESIDENT, AREA MANAGER",925-295-5888
047115,LHC Group,749192441,UNITEDHEALTH GROUP INCORPORATED,OPTUM HEALTH INC,1295852366,2264522242,"ARKANSAS HOMECARE OF FULTON, LLC",ELITE HOME HEALTH,"110 HIGHWAY 62 W, STE 1",SALEM,72576,05049,FULTON,Arkansas,AR,Non Metropolitan,3.5,JOSHUA PROFFITT,PRESIDENT,337-233-1307
097050,,,,,1437289840,7113935131,PREMIUM SELECT HOME CARE INC,,5513 ILLINOIS AVENUE NW,WASHINGTON,20011,11001,DISTRICT OF COLUMBIA,Washington D.C.,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-,LINDA DAVIS,ADMINISTRATOR,202-882-9310
753125,,,,,1053922575,8527461755,ESMERALDA HOME HEALTH INC,,8123 FOOTHILL BLVD.,SUNLAND,91040,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",3.5,VERZHINE FODOLYAN,CEO,626-380-1919
757322,,,,,1992317234,4587046727,ALL STATE PATIENT CARE,,18345 VENTURA BLVD SUITE 204,TARZANA,91356,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",2,ARTHUR ASLIBEKYAN,CEO,818-601-2626
517135,APPALACHIAN REGIONAL,840107835,APPALACHIAN REGIONAL HEALTHCARE INC,ARH SOUTHERN WEST VIRGINIA CLINIC,1184814931,0840107835,APPALACHIAN REGIONAL HEALTHCARE INC,LOGAN ARH HOME HEALTH AGENCY,113 LB&T WAY,LOGAN,25601,54045,LOGAN,West Virginia,WV,Non Metropolitan,3.5,HOLLIE HARRIS,PRESIDENT AND CEO,859-226-2511
397014,LHC Group,749192441,UNITEDHEALTH GROUP INCORPORATED,OPTUM HEALTH INC,1225218761,4284704925,NORTHAMPTON HOME CARE LLC,EASTON HOME HEALTH SERVICES,3893 ADLER PLACE SUITE 170,BETHLEHEM,18017,42095,NORTHAMPTON,Pennsylvania,PA,"Allentown-Bethlehem-Easton, PA-NJ",4.5,NICHOLAS GACHASSIN,SECRETARY/TREASURER,337-233-1307
507107,Pennant Group,6901135888,THE PENNANT GROUP INC,,1518482215,8820363369,GLACIER PEAK HEALTHCARE INC,ALPHA HOME HEALTH,10530 19TH AVE SE STE 201,EVERETT,98208,53061,SNOHOMISH,Washington,WA,"Seattle-Tacoma-Bellevue, WA",5,LEE JOHNSON,TREASURER,208-401-1369
058106,,,,,1912909177,5294779948,NURSING & REHAB AT HOME,,"1710 S AMPHLETT BLVD, SUITE 110",SAN MATEO,94402,06081,SAN MATEO,California,CA,"San Francisco-Oakland-Fremont, CA",3.5,LORNA BEUKEMA,OWNER/CEO/ADMINISTRATOR,650-551-7522
337264,,,,,1811324783,1557502408,TRI-BOROUGH CERTIFIED HEALTH SYSTEMS OF NEW YORK. LLC,FAMILY CARE CERTIFIED,"1414 UTICA AVENUE, 2ND FLOOR",BROOKLYN,11203,36047,KINGS,New York,NY,"New York-Newark-Jersey City, NY-NJ",-,KENRICK CORT,CEO/PRESIDENT,718-282-7619
748122,,,,,1891493722,4082078662,ANGEL WINGS HOME HEALTH SERVICES LLC,,1201 N WATSON ROAD SUITE 187,ARLINGTON,76006,48439,TARRANT,Texas,TX,"Dallas-Fort Worth-Arlington, TX",-,DOROTHEA LEE,ASST ADMINISTRATOR,817-583-6636
460026,Intermountain Home Health,1850209420,IHC HEALTH SERVICES INC,INTERMOUNTAIN HEALTH HOSPICE ? CASSIA,1336256775,1850209420,IHC HEALTH SERVICES INC,INTERMOUNTAIN HEALTH SEVIER VALLEY HOSPITAL,1000 NORTH MAIN STREET,RICHFIELD,84701,49041,SEVIER,Utah,UT,Non Metropolitan,-,DENIS SMITH,CFO,801-442-1853
407333,,,,,1427778323,4789129651,"FIRST HEALTH CARE, INC.",PRIMARY HOME CARE,CARR. 2 KM 171.5,SAN GERMAN,00683,72125,SAN GERMAN,Puerto Rico,PR,"Mayagüez, PR",-,STEVEN GONZALEZ,PRESIDENT,787-431-9139
377722,,8022109750,"A PATH OF CARE HOME HEALTH II, INC",,1841415254,8022109750,"A PATH OF CARE HOME HEALTH II, INC",,3303 W OKMULGEE,MUSKOGEE,74401,40101,MUSKOGEE,Oklahoma,OK,"Muskogee, OK",4,JOHN KELLY,PRESIDENT,405-928-2727
687229,,9133214018,"FIRST CARE HOME SERVICES, INC.",,1851453963,9133214018,"FIRST CARE HOME SERVICES, INC.",,351 S CYPRESS RD STE 408,POMPANO BEACH,33060,12011,BROWARD,Florida,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",-,CLAUDIA MCLEAN,ADMINISTRATOR,305-945-9025
398275,,,,,1659737203,7416232368,ADWA HOME CARE INC,,"209 N 9TH ST, FL 1",PHILADELPHIA,19107,42101,PHILADELPHIA,Pennsylvania,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-,BENJAMIN CHOI,CEO,215-592-8848
377743,,,,,1467970467,8628315371,OKLAHOMA HEALTHCARE TRANSITIONS INC,,"6803 S WESTERN AVENUE, SUITE 301",OKLAHOMA CITY,73139,40109,OKLAHOMA,Oklahoma,OK,"Oklahoma City, OK",4.5,FINNY JOSEPH,ADMINISTRATOR,405-205-9810
678166,Amedisys,6406880947,AMEDISYS HOLDING LLC,,1629060397,8628006236,"HEALTH PRIORITY HOME CARE, INC",GUARDIAN HEALTHCARE,6565 WEST LOOP SOUTH SUITE 780,BELLAIRE,77401,48201,HARRIS,Texas,TX,"Houston-Pasadena-The Woodlands, TX",3,SCOTT GINN,CFO SVP,225-299-3020
157573,,,,,1902920259,4981629565,"AMERICAN HOME HEALTH SERVICES, INC.",,"7895 BROADWAY AVENUE, SUITE G-A",MERRILLVILLE,46410,18089,LAKE,Indiana,IN,"Chicago-Naperville-Elgin, IL-IN",3,GERRY GAOAT,MANAGER,219-322-6264
107006,LHC Group,749192441,UNITEDHEALTH GROUP INCORPORATED,OPTUM HEALTH INC,1124337894,6002091485,"LHCG XIX, LLC",BAPTIST HOME HEALTH CARE,2114 AIRPORT BLVD STE 1400,PENSACOLA,32504,12033,ESCAMBIA,Florida,FL,"Pensacola-Ferry Pass-Brent, FL",4.5,DONALD STELLY,PRESIDENT,337-233-1307
051506,Commonspirit Health at Home,3678530714,CONSOLIDATED HEALTH SERVICES LLC,COMMONSPIRIT HEALTH AT HOME,1205049558,9931127958,PATHWAYS HOME HEALTH AND HOSPICE,COMMONSPIRIT HEALTH AT HOME,"333 HEGENBERGER ROAD, SUITE 700",OAKLAND,94621,06001,ALAMEDA,California,CA,"San Francisco-Oakland-Fremont, CA",,JACK HAWKINS,V.P. FINANCE & CFO,513-576-8478
757450,,,,,1043975287,6002287422,PURE SUNRISE HOME HEALTH INC,,304B N VERDUGO RD,GLENDALE,91206,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",2,ARKADI AMIRKHANYAN,CEO,800-484-3554
297157,,,,,1467653600,6406955681,"HEALING HEARTS HOME CARE, INC.",,7241 WEST SAHARA AVE STE 110,LAS VEGAS,89117,32003,CLARK,Nevada,NV,"Las Vegas-Henderson-North Las Vegas, NV",1.5,KOBA GELASHVILI,PRESIDENT,702-523-5858
167267,,,,,1245305242,1658284054,"COMFORT CARE MEDICARE, INC",,4015 GLASS ROAD NE,CEDAR RAPIDS,52402,19113,LINN,Iowa,IA,"Cedar Rapids, IA",3,JULIE TOW,ADMINISTRATOR,319-294-3527
747917,,,,,1679813117,1658512280,PREMIERE ANGEL CARE HOME HEALTH LLC,,3248 HIGHWAY 44,ALICE,78332,48249,JIM WELLS,Texas,TX,"Alice, TX",1,MARISSA BENAVIDES,PRESIDENT,361-661-9701
747337,,,,,1447653696,2264755362,TRADITIONS CARE TEAM INC,TRADITIONS HOME HEALTHCARE,5045 LORIMAR DR SUITE 230,PLANO,75093,48085,COLLIN,Texas,TX,"Dallas-Fort Worth-Arlington, TX",4.5,STANLEY SIMON,OWNER/ALT ADMINISTRATOR,972-378-7902
107547,Centerwell ,5294862660,HUMANA INC,"HUMANA, INC.",1194776138,7517877244,"SENIOR HOME CARE, INC",CENTERWELL HOME HEALTH,4245 KINGS HWY UNIT B,PORT CHARLOTTE,33980,12015,CHARLOTTE,Florida,FL,"Punta Gorda, FL",4.5,JOHN NICHOLS,AUTHORIZED SIGNATORY,941-623-4882
687036,COVENANT HOME HEALTH CARE,6709182033,COVENANT HEALTH AND COMMUNITY SERVICES INC,,1659923472,9739512203,COVENANT HOME HEALTH CARE 5 LLC,,210 S PINELLAS AVE,SAINT PETERSBURG,34689,12103,PINELLAS,Florida,FL,"Tampa-St. Petersburg-Clearwater, FL",3,MICHAEL HITCHCOCK,"VP, FINANCE",850-433-2155
747962,,,,,1407153174,9032360284,CARE HEALTH SERVICES INC,,1129 BIRCH RISE ROAD,RICHMOND,77406,48157,FORT BEND,Texas,TX,"Houston-Pasadena-The Woodlands, TX",-,CHINYERE UGORJI,ADMINISTRATOR,832-677-4669
757393,,,,,1447861646,3971973454,"LIFE LINE HEALTH CARE SERVICES, INC.",,121 W LEXINGTON DR. SUITE 218B,GLENDALE,91203,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",5,HRAYR SARGSYAN,CEO,747-248-4479
217156,National Senior Communities,648337220,"NATIONAL SENIOR COMMUNITIES, INC",,1801904149,4183611437,"RIDERWOOD VILLAGE, INC.",RIDERWOOD HOME HEALTH AGENCY,3120 GRACEFIELD ROAD,SILVER SPRING,20904,24031,MONTGOMERY,Maryland,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.5,JAMES WALTER,FINACNE DIRECTOR,410-402-2315
757758,,,,,1295481737,8022451392,STARLIGHT HOME HEALTH INC,,133 N ALTADENA DR SUITE 302,PASADENA,91107,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",-,SUREN SARGSYAN,CEO,626-313-3411
747822,,3971986563,MEDPOINT MANAGEMENT GROUP LLC,,1689021883,3779866777,PBHS HOME HEALTH DFW I INC,RESTORE WELLNESS HOME CARE,6974 WAVERLY LN,FRISCO,75035,48085,COLLIN,Texas,TX,"Dallas-Fort Worth-Arlington, TX",3,TIM BARTHOLOMEW,ADMINISTRATOR,469-256-6661
527235,,,,,1437241577,1951381797,"PREFERRED HOME HEALTH SERVICES, LLC.",,"811 N HAWLEY RD, SUITE 102",MILWAUKEE,53213,55079,MILWAUKEE,Wisconsin,WI,"Milwaukee-Waukesha, WI",-,CHERYL SAUER,ADMINISTRATOR,414-774-3901
397672,,,,,1053642066,0143396663,ADF INC,INTERIM HEALTHCARE,160 CHAD ROAD,MUNCY,17756,42081,LYCOMING,Pennsylvania,PA,"Williamsport, PA",3,ALICE FISCHETTI,OWNER/PRESIDENT,570-546-2102
148210,,,,,1780914333,9739211186,"GOOD LIFE HOME HEALTH CARE, INC.",,"5225 OLD ORCHARD RD, STE 39",SKOKIE,60077,17031,COOK,Illinois,IL,"Chicago-Naperville-Elgin, IL-IN",4.5,VICTORINO GABOR,PRESIDENT,847-778-8739
677816,,,,,1629083001,2961439732,ACCURATECARE HEALTH SERVICES INC,ACCURATECARE HOME HEALTH AGENCY,2111 NORTH BELTLINE RD STE 2,MESQUITE,75150,48113,DALLAS,Texas,TX,"Dallas-Fort Worth-Arlington, TX",-,JESSY THOMAS,ADMINISTRATOR,214-377-9183
679431,,8224077300,INFINITE CARE HOME HEALTH INC.,,1871685826,8224077300,INFINITE CARE HOME HEALTH INC.,,206 YMCA DR # 105,WAXAHACHIE,75165,48139,ELLIS,Texas,TX,"Dallas-Fort Worth-Arlington, TX",3.5,LISSET DARNALL,ADMINISTRATOR,972-938-8500
